id	name	now_prices	up_down_rates	up_downs	up_rates	turnover_rates	volume_ratios	amplitudes	turnovers	tradable_shares	market_values	pe_ratios
600759	洲际油气	6.24	-0.64	-0.04	-0.16	1.01	0.60	4.46	9889.63万	15.81亿	98.64亿	279.40
600738	兰州民百	7.76	-0.64	-0.05	--	0.80	1.51	4.48	2242.40万	3.68亿	28.57亿	41.62
603686	龙马环卫	32.17	-0.65	-0.21	-0.09	1.63	1.08	3.27	5492.80万	1.06亿	34.18亿	33.98
600026	中远海能	6.12	-0.65	-0.04	--	0.74	1.48	3.73	1.24亿	27.36亿	167.45亿	10.96
600863	内蒙华电	3.04	-0.65	-0.02	-0.33	0.60	1.22	3.92	1.06亿	58.08亿	176.56亿	--
600456	宝钛股份	18.19	-0.66	-0.12	--	1.27	0.53	6.01	9862.01万	4.30亿	78.27亿	--
601229	上海银行	22.68	-0.66	-0.15	0.04	3.94	1.24	2.19	5.35亿	6.00亿	136.18亿	8.79
601579	会稽山	12.05	-0.66	-0.08	--	0.73	1.55	2.56	2158.51万	2.48亿	29.88亿	18.12
600292	远达环保	10.51	-0.66	-0.07	0.19	1.55	0.42	3.40	1.25亿	7.81亿	82.06亿	91.00
600936	广西广电	8.97	-0.67	-0.06	0.56	1.44	1.09	3.88	3839.04万	3.00亿	26.91亿	60.69
603101	汇嘉时代	17.89	-0.67	-0.12	0.17	2.07	1.02	5.00	2630.70万	7200.00万	12.88亿	32.53
600138	中青旅	19.30	-0.67	-0.13	0.47	1.28	1.52	3.76	1.73亿	7.03亿	135.62亿	40.30
600731	湖南海利	8.86	-0.67	-0.06	-0.11	1.40	1.46	3.81	3964.46万	3.27亿	28.94亿	112.41
603081	大丰实业	23.42	-0.68	-0.16	-0.13	18.67	0.64	6.62	2.21亿	5180.00万	12.13亿	63.98
603800	道森股份	24.64	-0.69	-0.17	0.29	6.87	1.13	3.95	1.13亿	6760.00万	16.66亿	176.02
600980	北矿科技	17.31	-0.69	-0.12	0.17	1.53	1.32	4.59	3754.35万	1.43亿	24.81亿	163.53
600356	恒丰纸业	9.97	-0.70	-0.07	0.30	1.02	1.51	3.39	3014.46万	2.99亿	29.78亿	27.14
603696	安记食品	33.99	-0.70	-0.24	0.35	2.61	0.71	5.00	3003.12万	3450.00万	11.73亿	102.63
601339	百隆东方	5.62	-0.71	-0.04	0.18	0.28	0.96	3.18	2333.19万	15.00亿	84.30亿	18.55
600382	广东明珠	15.00	-0.73	-0.11	-0.33	0.98	1.64	2.18	5009.95万	3.42亿	51.26亿	26.94
600327	大东方	8.18	-0.73	-0.06	-0.12	0.89	1.32	3.15	3768.43万	5.22亿	42.68亿	11.60
600497	驰宏锌锗	5.42	-0.73	-0.04	--	0.82	0.69	4.58	1.88亿	43.10亿	233.60亿	20.02
600039	四川路桥	4.04	-0.74	-0.03	-0.25	0.77	0.78	2.95	9365.67万	30.20亿	122.00亿	33.37
600331	宏达股份	5.26	-0.76	-0.04	0.19	1.51	1.58	6.98	7986.84万	10.32亿	54.28亿	56.05
600563	法拉电子	42.98	-0.76	-0.33	0.68	1.21	1.15	5.01	1.16亿	2.25亿	96.70亿	29.30
601238	广汽集团	25.97	-0.76	-0.20	-0.04	0.09	0.41	2.79	1.00亿	42.53亿	1104.44亿	10.96
600821	津劝业	7.78	-0.77	-0.06	-0.38	1.53	1.38	7.78	4839.32万	4.16亿	32.39亿	--
600499	科达洁能	7.71	-0.77	-0.06	0.13	0.86	0.58	3.60	9303.62万	14.11亿	108.82亿	15.44
600059	古越龙山	8.95	-0.78	-0.07	--	0.80	1.45	2.66	5781.18万	8.09亿	72.36亿	28.58
603306	华懋科技	29.36	-0.78	-0.23	-0.03	2.77	0.80	3.21	5969.03万	7374.75万	21.65亿	21.72
600513	联环药业	12.75	-0.78	-0.10	-0.16	1.00	1.07	2.96	2792.21万	2.20亿	28.00亿	53.69
600764	中电广通	29.31	-0.78	-0.23	-0.07	0.58	0.91	4.23	5599.90万	3.30亿	96.64亿	171.87
600882	广泽股份	10.16	-0.78	-0.08	0.20	0.69	1.12	3.03	2786.44万	3.99亿	40.56亿	223.32
600060	海信电器	13.89	-0.79	-0.11	-0.36	1.50	0.76	2.64	2.71亿	13.08亿	181.75亿	16.92
603118	共进股份	32.47	-0.79	-0.26	0.09	1.83	1.31	3.64	7220.78万	1.23亿	39.82亿	28.66
601678	滨化股份	6.25	-0.79	-0.05	0.32	0.92	1.06	3.81	6707.67万	11.88亿	74.25亿	10.54
600506	香梨股份	16.10	-0.80	-0.13	0.19	1.90	1.34	3.82	4453.44万	1.48亿	23.78亿	5939.12
600982	宁波热电	4.94	-0.80	-0.04	0.20	0.86	1.24	3.62	2848.67万	6.76亿	33.40亿	25.51
600583	海油工程	6.12	-0.81	-0.05	--	0.41	1.03	3.40	1.09亿	44.21亿	270.59亿	--
600362	江西铜业	14.69	-0.81	-0.12	-0.14	1.20	1.20	4.46	3.62亿	20.75亿	304.85亿	23.50
600763	通策医疗	24.16	-0.82	-0.20	0.54	0.81	1.87	4.56	6193.33万	3.21亿	77.47亿	45.25
600157	永泰能源	3.59	-0.83	-0.03	0.84	0.42	1.39	3.87	6894.25万	45.96亿	164.98亿	104.53
600326	西藏天路	11.88	-0.83	-0.10	-0.08	7.08	0.91	9.68	5.47亿	6.66亿	79.08亿	47.57
600106	重庆路桥	5.91	-0.84	-0.05	0.17	1.84	1.21	3.19	9747.86万	9.08亿	53.65亿	27.92
600467	好当家	3.54	-0.84	-0.03	-0.28	0.75	1.21	3.36	3852.48万	14.61亿	51.72亿	128.92
600019	宝钢股份	5.87	-0.84	-0.05	-0.17	0.32	1.67	2.70	4.04亿	220.77亿	1295.91亿	8.57
603569	长久物流	32.73	-0.85	-0.28	0.03	5.78	0.81	7.12	7424.43万	4001.00万	13.10亿	72.03
603609	禾丰牧业	9.32	-0.85	-0.08	0.22	1.26	0.54	2.77	4856.96万	4.18亿	38.99亿	27.52
600361	华联综超	5.67	-0.87	-0.05	0.18	0.62	1.18	3.67	2315.02万	6.66亿	37.75亿	292.50
600267	海正药业	11.33	-0.88	-0.10	--	0.50	1.08	2.80	5484.86万	9.66亿	109.39亿	400.31
600533	栖霞建设	5.65	-0.88	-0.05	-0.53	7.06	0.66	7.54	4.15亿	10.50亿	59.33亿	--
600613	神奇制药	11.25	-0.88	-0.10	-0.09	0.67	1.48	4.76	3579.29万	4.79亿	53.92亿	70.17
600238	海南椰岛	10.11	-0.88	-0.09	-0.30	0.50	0.89	2.75	2265.64万	4.45亿	44.99亿	--
603660	苏州科达	35.43	-0.90	-0.32	-0.56	10.31	1.72	5.15	1.81亿	5000.00万	17.71亿	71.29
600573	惠泉啤酒	9.97	-0.90	-0.09	0.20	1.03	1.18	5.37	2523.19万	2.50亿	24.93亿	--
603339	四方冷链	28.65	-0.90	-0.26	0.21	3.65	1.19	5.02	5326.27万	5170.00万	14.81亿	37.45
600139	西部资源	12.10	-0.90	-0.11	-0.74	4.53	0.89	4.83	3.59亿	6.62亿	80.09亿	--
600067	冠城大通	6.59	-0.90	-0.06	--	0.90	1.50	4.66	8727.82万	14.92亿	98.33亿	8.35
600751	天海投资	6.55	-0.91	-0.06	0.15	0.58	1.25	5.29	7361.79万	19.71亿	129.11亿	--
600258	首旅酒店	26.15	-0.91	-0.24	0.54	0.69	0.94	4.55	4139.77万	2.31亿	60.51亿	127.67
600675	中华企业	6.52	-0.91	-0.06	-0.61	0.45	1.38	5.32	5362.92万	18.67亿	121.73亿	259.56
600322	天房发展	5.43	-0.91	-0.05	--	0.67	0.96	4.75	3924.68万	11.06亿	60.04亿	27.54
600560	金自天正	12.94	-0.92	-0.12	0.47	1.29	1.18	6.74	3659.50万	2.24亿	28.94亿	113.49
601139	深圳燃气	8.62	-0.92	-0.08	-0.35	0.14	0.93	2.18	2720.05万	21.82亿	188.08亿	21.46
600075	新疆天业	12.89	-0.92	-0.12	0.08	2.50	1.09	4.46	1.40亿	4.39亿	56.53亿	14.25
601899	紫金矿业	3.20	-0.93	-0.03	0.31	0.53	1.17	2.48	2.67亿	158.04亿	505.72亿	17.14
601600	中国铝业	4.26	-0.93	-0.04	-0.23	1.35	1.92	7.21	6.15亿	109.60亿	466.89亿	40.62
600857	宁波中百	13.81	-0.93	-0.13	-0.22	0.69	0.94	5.52	2098.67万	2.24亿	30.98亿	75.61
600359	新农开发	7.39	-0.94	-0.07	--	1.33	1.00	4.69	3696.74万	3.82亿	28.19亿	207.70
603859	能科股份	39.91	-0.94	-0.38	0.28	13.59	0.58	4.99	1.53亿	2839.00万	11.33亿	--
600829	人民同泰	12.60	-0.94	-0.12	0.88	0.24	0.93	3.07	1715.55万	5.80亿	73.07亿	27.65
600683	京投发展	7.29	-0.95	-0.07	0.14	0.48	0.51	5.98	2587.36万	7.41亿	54.00亿	--
600483	福能股份	10.40	-0.95	-0.10	0.10	1.13	1.53	4.76	3346.78万	2.88亿	30.00亿	20.22
600871	石化油服	3.12	-0.95	-0.03	0.65	0.94	1.26	3.81	8200.98万	28.18亿	87.93亿	--
603665	康隆达	42.18	-0.96	-0.41	-0.02	5.51	1.17	4.53	5743.14万	2500.00万	10.54亿	65.19
603718	海利生物	14.37	-0.96	-0.14	-0.28	0.60	0.97	3.79	2609.34万	3.05亿	43.82亿	92.77
601886	江河集团	10.25	-0.97	-0.10	-0.20	2.27	0.96	5.02	2.65亿	11.54亿	118.29亿	37.10
600624	复旦复华	7.09	-0.98	-0.07	--	0.92	1.12	4.89	3811.26万	5.83亿	41.36亿	129.74
600187	国中水务	5.06	-0.98	-0.05	0.20	2.88	1.00	5.09	2.08亿	14.56亿	73.65亿	--
600269	赣粤高速	5.05	-0.98	-0.05	--	1.12	2.23	3.33	1.32亿	23.35亿	117.94亿	6.77
600188	兖州煤业	10.10	-0.98	-0.10	-0.30	0.21	0.50	2.16	6368.60万	29.60亿	298.94亿	7.09
601969	海南矿业	11.05	-0.99	-0.11	-0.54	0.34	0.59	4.66	3143.11万	8.59亿	94.88亿	107.69
600535	天士力	39.96	-0.99	-0.40	0.13	0.32	1.09	3.12	1.31亿	10.33亿	412.72亿	33.93
600744	华银电力	4.98	-0.99	-0.05	--	2.54	0.78	5.96	1.04亿	8.28亿	41.22亿	--
603360	百傲化学	33.83	-0.99	-0.34	0.48	13.41	2.06	4.42	1.49亿	3334.00万	11.28亿	41.03
600290	华仪电气	10.95	-0.99	-0.11	-0.46	1.52	2.23	3.35	8835.06万	5.27亿	57.69亿	1426.86
601038	一拖股份	8.92	-1.00	-0.09	--	0.89	1.19	5.11	4633.90万	5.94亿	52.98亿	34.68
600998	九州通	18.65	-1.01	-0.19	0.22	0.20	1.03	2.28	5900.03万	16.31亿	304.20亿	41.33
600491	龙元建设	9.71	-1.02	-0.10	--	1.64	1.35	5.50	1.49亿	9.48亿	92.01亿	25.64
600333	长春燃气	6.77	-1.02	-0.07	--	1.26	1.42	3.80	4468.34万	5.30亿	35.86亿	48.62
