id	name	now_prices	up_down_rates	up_downs	up_rates	turnover_rates	volume_ratios	amplitudes	turnovers	tradable_shares	market_values	pe_ratios
300436	广生堂  	43.70	3.21	1.36	0.05	0.94	1.48	4.13	2271.71万	5600.00万	24.47亿	75.98
002538	司尔特  	9.36	3.20	0.29	0.32	1.40	1.53	3.86	9035.92万	7.00亿	65.49亿	48.90
603803	瑞斯康达	29.54	3.18	0.91	--	18.42	0.87	6.18	3.04亿	5680.00万	16.78亿	52.23
000532	华金资本	14.31	3.17	0.44	-0.35	1.28	1.24	5.77	6269.28万	3.43亿	49.15亿	341.23
002044	美年健康	14.97	3.17	0.46	0.13	0.74	1.12	4.00	1.15亿	10.54亿	157.74亿	--
002835	同为股份	38.62	3.15	1.18	--	13.22	1.33	4.49	1.37亿	2700.00万	10.43亿	112.19
601113	华鼎股份	9.56	3.13	0.29	0.53	1.30	1.57	13.27	7593.89万	6.40亿	61.18亿	52.06
600000	浦发银行	15.21	3.12	0.46	0.07	0.21	1.44	3.39	6.87亿	216.18亿	3288.14亿	5.68
603032	德新交运	40.68	3.12	1.23	0.03	6.18	1.30	4.89	8290.41万	3334.00万	13.56亿	410.36
603116	红蜻蜓	18.86	3.12	0.57	--	4.51	4.40	6.78	1.55亿	1.81亿	34.08亿	21.72
002836	新宏泽  	39.21	3.10	1.18	--	40.03	0.83	6.10	6.27亿	4000.00万	15.68亿	143.36
000661	长春高新	113.76	3.09	3.41	--	1.24	2.16	3.13	2.39亿	1.70亿	193.43亿	33.66
002198	嘉应制药	13.45	3.06	0.40	0.60	0.72	1.36	3.83	4472.82万	4.65亿	62.59亿	217.78
002142	宁波银行	17.83	3.06	0.53	--	0.70	1.53	4.22	4.27亿	34.52亿	615.57亿	7.37
603558	健盛集团	15.87	3.05	0.47	0.32	6.16	0.95	4.22	7235.42万	7500.00万	11.90亿	44.48
601336	新华保险	50.03	3.05	1.48	--	0.78	1.07	7.97	8.19亿	20.85亿	1043.35亿	21.24
603881	数据港	61.06	3.04	1.80	-0.08	30.33	1.07	7.46	9.78亿	5265.00万	32.15亿	133.95
300146	汤臣倍健	11.21	3.03	0.33	--	1.83	2.28	4.32	1.75亿	8.71亿	97.69亿	14.55
000809	*ST新城 	4.09	3.02	0.12	--	1.04	1.41	5.29	3504.70万	8.25亿	33.73亿	--
603385	惠达卫浴	28.34	3.02	0.83	-0.18	13.95	1.16	5.56	2.79亿	7104.00万	20.13亿	50.42
600598	北大荒	10.95	3.01	0.32	--	0.71	1.86	5.17	1.38亿	17.78亿	194.66亿	20.02
600533	栖霞建设	5.82	3.01	0.17	1.22	7.40	0.81	7.43	4.48亿	10.50亿	61.11亿	--
002335	科华恒盛	30.81	3.01	0.90	--	0.94	0.77	4.95	5366.15万	1.86亿	57.26亿	77.22
600138	中青旅	19.88	3.00	0.58	0.15	1.42	1.59	3.89	1.97亿	7.03亿	139.70亿	41.51
600179	安通控股	15.49	2.99	0.45	0.19	1.37	0.47	6.18	8217.75万	3.90亿	60.41亿	33.96
601318	中国平安	40.95	2.97	1.18	0.22	1.11	1.31	4.02	48.98亿	108.33亿	4435.98亿	8.12
601933	永辉超市	6.25	2.96	0.18	--	1.06	1.13	4.78	4.28亿	65.09亿	406.80亿	20.11
002809	红墙股份	38.55	2.96	1.11	-0.21	14.61	1.71	8.23	1.09亿	2000.00万	7.71亿	43.74
600843	上工申贝	14.63	2.96	0.42	0.27	3.27	1.10	5.98	1.43亿	3.05亿	44.57亿	33.24
603313	梦百合	32.86	2.94	0.94	0.12	4.31	1.56	3.45	8391.54万	6000.00万	19.72亿	29.27
600684	珠江实业	8.08	2.93	0.23	--	3.70	1.20	7.39	2.12亿	7.11亿	57.47亿	12.40
000923	河北宣工	32.57	2.91	0.92	--	15.58	1.25	9.45	10.00亿	1.98亿	64.49亿	--
002040	南 京 港	19.95	2.89	0.56	0.05	7.38	1.80	10.11	3.60亿	2.46亿	49.05亿	88.32
603778	乾景园林	23.97	2.88	0.67	0.46	8.39	0.77	5.54	1.79亿	9048.16万	21.69亿	170.79
002218	拓日新能	8.96	2.87	0.25	0.34	0.86	1.54	3.90	4623.36万	6.08亿	54.46亿	44.23
601258	庞大集团	2.87	2.87	0.08	--	5.02	1.10	8.60	9.24亿	64.80亿	185.98亿	40.97
002322	理工环科	23.70	2.87	0.66	--	1.54	0.91	6.73	9913.56万	2.75亿	65.07亿	52.26
601998	中信银行	6.14	2.85	0.17	--	0.20	1.94	3.52	3.87亿	319.05亿	1958.98亿	6.59
000802	北京文化	14.54	2.83	0.40	0.07	0.93	1.19	3.04	5050.67万	3.80亿	55.25亿	526.94
603568	伟明环保	21.45	2.83	0.59	1.18	2.23	1.26	4.32	6163.99万	1.31亿	28.02亿	30.55
000921	海信科龙	13.97	2.80	0.38	--	1.65	1.05	4.49	2.05亿	9.02亿	126.01亿	18.57
300503	昊志机电	51.13	2.77	1.38	-0.02	2.17	0.83	4.12	4479.62万	4103.61万	20.98亿	105.64
600233	圆通速递	19.66	2.77	0.53	-0.10	1.75	0.96	3.03	1.12亿	3.30亿	64.88亿	49.65
300347	泰格医药	25.59	2.77	0.69	--	0.70	1.38	4.62	5422.03万	2.99亿	76.48亿	70.03
600015	华夏银行	10.54	2.73	0.28	0.19	0.38	1.58	2.92	4.29亿	106.86亿	1126.26亿	6.26
300406	九强生物	17.39	2.72	0.46	-0.06	0.76	1.19	4.25	2691.01万	2.08亿	36.20亿	42.23
603189	网达软件	22.70	2.71	0.60	0.27	4.69	1.35	8.14	5884.96万	5520.00万	12.53亿	--
300456	耐威科技	39.80	2.71	1.05	--	1.75	1.47	3.85	4856.08万	7098.79万	28.25亿	195.29
601628	中国人寿	27.75	2.70	0.73	0.07	0.10	1.31	4.44	5.66亿	208.24亿	5778.53亿	31.89
600355	精伦电子	8.42	2.68	0.22	--	2.46	2.33	3.42	1.01亿	4.92亿	41.43亿	--
601939	建设银行	6.16	2.67	0.16	0.16	1.73	2.22	3.33	10.15亿	95.94亿	590.97亿	5.50
300576	容大感光	41.54	2.64	1.07	0.10	6.72	1.40	4.40	5506.56万	2000.00万	8.31亿	88.13
600258	首旅酒店	26.84	2.64	0.69	0.15	0.65	0.93	3.44	4030.22万	2.31亿	62.11亿	131.03
601398	工商银行	5.06	2.64	0.13	0.20	0.06	1.52	3.04	8.27亿	2696.12亿	13642.38亿	5.95
600190	锦州港	4.29	2.63	0.11	--	1.11	1.37	5.98	8371.31万	17.79亿	76.34亿	51.87
300237	美晨科技	16.84	2.62	0.43	-0.06	1.20	1.00	5.18	6888.88万	3.47亿	58.50亿	44.01
600202	哈空调	14.11	2.62	0.36	0.07	1.18	0.44	3.20	6301.58万	3.83亿	54.09亿	--
603058	永吉股份	25.08	2.58	0.63	-0.28	3.90	1.27	4.25	4074.07万	4216.00万	10.57亿	106.80
600016	民生银行	7.99	2.57	0.20	--	0.65	1.70	3.08	15.18亿	295.52亿	2361.19亿	5.13
002112	三变科技	13.99	2.57	0.35	--	1.01	1.69	5.35	2553.96万	1.83亿	25.55亿	--
600084	中葡股份	6.87	2.54	0.17	0.29	1.94	0.86	3.43	1.32亿	9.98亿	68.58亿	--
000920	南方汇通	13.02	2.52	0.32	--	1.37	0.69	4.57	7431.45万	4.22亿	54.93亿	41.53
603677	奇精机械	50.94	2.52	1.25	0.30	3.71	1.13	2.64	3742.74万	2000.00万	10.19亿	55.20
000039	中集集团	15.16	2.50	0.37	--	1.00	1.63	4.67	1.89亿	12.62亿	191.32亿	22.15
002682	龙洲股份	12.78	2.49	0.31	0.16	2.77	0.74	3.29	6748.39万	1.93亿	24.61亿	93.39
002747	埃斯顿  	35.17	2.48	0.85	--	8.86	0.84	4.63	1.86亿	6000.00万	21.10亿	181.22
